Structural_Feature,Group_1,Group_2,Target_State,p_value,p.adj,p.adj.signif
State,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]",Active (BLAminus),8.180146263508906e-10,1.9087007948187446e-9,****
State,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]",Active (BLAminus),6.577907404487686e-10,1.9087007948187446e-9,****
State,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]",Active (BLAminus),0.4977296801073748,0.5235144373222703,ns
State,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",Active (BLAminus),0.4985851784021622,0.5235144373222703,ns
State,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",Active (BLAminus),4.0059658534718004e-13,2.8041760974302605e-12,****
State,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",Active (BLAminus),2.028531420976749e-7,3.549929986709311e-7,****
State,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]",Active (BLAminus),0.10906327458513175,0.15268858441918445,ns
State,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]",Active (BLAminus),8.161033274108163e-11,2.856361645937857e-10,****
State,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",Active (BLAminus),3.831780827904918e-12,2.011684934650082e-11,****
State,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",Active (BLAminus),0.7035226296445835,0.7035226296445835,ns
State,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",Active (BLAminus),0.39618270023903907,0.46221315027887894,ns
State,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]",Active (BLAminus),8.01908208471768e-10,1.9087007948187446e-9,****
State,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",Active (BLAminus),1.0657194769845954e-11,4.4760218033353013e-11,****
State,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",Active (BLAminus),0.17993268228535583,0.2222697839995572,ns
State,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",Active (BLAminus),0.027820034256442958,0.044940055337330934,*
State,"csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",Active (BLAminus),0.07876327969097154,0.11814491953645731,ns
State,"csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",Active (BLAminus),2.7156702738449642e-15,2.8514537875372125e-14,****
State,"csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",Active (BLAminus),8.083451135536368e-8,1.5432043076933066e-7,****
State,"csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",Active (BLAminus),7.833475998992277e-16,1.645029959788378e-14,****
State,"csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",Active (BLAminus),1.797650014452572e-9,3.7750650303504014e-9,****
State,"csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",Active (BLAminus),0.13081972513861548,0.1717008892444328,ns
C_Helix,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]",In,7.304457436274379e-4,0.0015339360616176195,**
C_Helix,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]",In,6.960164640920421e-8,7.308172872966443e-7,****
C_Helix,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]",In,0.01819747385101837,0.029395919297798903,*
C_Helix,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",In,0.24623115577889437,0.2721502248082517,ns
C_Helix,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",In,1.1789052061507453e-6,6.189252332291413e-6,****
C_Helix,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",In,1.955144788449378e-9,4.105804055743694e-8,****
C_Helix,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]",In,0.006614914250155122,0.011576099937771464,*
C_Helix,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]",In,0.09124093527993858,0.11270939063992413,ns
C_Helix,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",In,0.048917730543265064,0.0733765958148976,ns
C_Helix,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",In,0.21403974669487835,0.24971303781069143,ns
C_Helix,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",In,0.006335143422631348,0.011576099937771464,*
