Metric,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]",100,100,565,2.3400000000000003e-27,8.190000000000001e-27,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]",100,34,1314.5,0.049,0.057,ns
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]",100,196,8881.5,0.187,0.194,ns
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]",100,100,6311.5,0.001,0.002,**
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]",100,166,1594.5,2.65e-28,1.11e-27,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",100,100,2125,2.16e-12,5.04e-12,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]",100,34,2953,1.51e-10,2.88e-10,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]",100,196,18175.5,2.6300000000000002e-33,1.84e-32,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]",100,100,9702.5,1.5e-30,7.88e-30,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]",100,166,9474.5,0.053,0.059,ns
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",100,100,7989.5,2.8e-13,7.35e-13,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]","csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]",34,196,3797.5,0.194,0.194,ns
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]","csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]",34,100,2498.5,4.49e-5,6.29e-5,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]","csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]",34,166,1028.5,5.49e-9,8.87e-9,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",34,100,1153,0.005,0.006,**
Cleft_Gape_Dist,Distance,"csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]",196,100,13277.5,5.96e-7,8.94e-7,****
Cleft_Gape_Dist,Distance,"csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]",196,166,3889.5,9.95e-36,2.09e-34,****
Cleft_Gape_Dist,Distance,"csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",196,100,4998.5,5.45e-12,1.14e-11,****
Cleft_Gape_Dist,Distance,"csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]","csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]",100,166,808,6.479999999999999e-35,6.8e-34,****
Cleft_Gape_Dist,Distance,"csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",100,100,1217,2.41e-20,7.23e-20,****
Cleft_Gape_Dist,Distance,"csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",166,100,11982.5,1.37e-9,2.4e-9,****
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]",100,100,8064.5,6.61e-14,1.98e-13,****
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]",100,34,3243.5,2.8e-15,9.8e-15,****
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]",100,196,13614,4.24e-8,7.42e-8,****
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]",100,100,8971,2.78e-22,1.46e-21,****
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]",100,166,14781.5,1.3600000000000002e-26,1.43e-25,****
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",100,100,9695.5,1.71e-30,3.59e-29,****
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]",100,34,2570.5,8.44e-6,1.27e-5,****
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]",100,196,7932.5,0.007,0.009,**
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]",100,100,7013.5,8.51e-7,1.37e-6,****
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]",100,166,10552.5,2.07e-4,2.9e-4,***
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",100,100,8346,2.81e-16,1.18e-15,****
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]","csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]",34,196,1245.5,5.57e-9,1.06e-8,****
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]","csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]",34,100,1565,0.491,0.491,ns
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]","csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]",34,166,2047,0.012,0.014,*
D1_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",34,100,2098,0.042,0.044,*
D1_Dist,Distance,"csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]",196,100,14906,2.21e-13,5.8e-13,****
D1_Dist,Distance,"csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]",196,166,23194,2.81e-12,6.56e-12,****
D1_Dist,Distance,"csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",196,100,17032,2.8e-25,1.96e-24,****
D1_Dist,Distance,"csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]","csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]",100,166,6835,0.016,0.017,*
D1_Dist,Distance,"csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",100,100,6497.5,2.51e-4,3.29e-4,***
D1_Dist,Distance,"csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",166,100,12419,1.17e-11,2.46e-11,****
D220_HRD_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]",100,100,1436.5,2.21e-18,5.8e-18,****
D220_HRD_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]",100,34,229,4.11e-14,8.63e-14,****
D220_HRD_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]",100,196,10421,0.371,0.433,ns
D220_HRD_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]",100,100,5602,0.14,0.184,ns
D220_HRD_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]",100,166,1720,1.3500000000000001e-27,9.45e-27,****
D220_HRD_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",100,100,657.5,1.68e-26,8.82e-26,****
D220_HRD_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[SRC = Holo]",100,34,1447,0.194,0.24,ns
D220_HRD_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-apo
[SRC = Apo]",100,196,16508,4.37e-22,1.3100000000000002e-21,****
D220_HRD_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-holo
[SRC = Holo]",100,100,8514,7.29e-18,1.7e-17,****
D220_HRD_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[SRC = Apo]",100,166,8308.5,0.989,0.989,ns
D220_HRD_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[SRC = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[SRC = Holo]",100,100,3998,0.014,0.021,*
