Metric,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Cleft_Gape_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
[CDK1 = Holo]",100,100,10000,2.53e-34,9.79e-34,****
Cleft_Gape_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,4705.5,0.473,0.507,ns
Cleft_Gape_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,5058.5,0.887,0.887,ns
Cleft_Gape_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,2059,6.72e-13,1.26e-12,****
Cleft_Gape_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,1646.5,2.55e-16,6.38e-16,****
Cleft_Gape_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,349.5,6.42e-30,1.9300000000000002e-29,****
Cleft_Gape_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,1,2.6099999999999997e-34,9.79e-34,****
Cleft_Gape_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,0,2.54e-34,9.79e-34,****
Cleft_Gape_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,0,2.53e-34,9.79e-34,****
Cleft_Gape_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,5363.5,0.375,0.433,ns
Cleft_Gape_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,3397,9.02e-5,1.35e-4,***
Cleft_Gape_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,3723.5,0.002,0.002,**
Cleft_Gape_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,2112,1.72e-12,2.87e-12,****
Cleft_Gape_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,1861.5,1.75e-14,3.75e-14,****
Cleft_Gape_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,5488,0.234,0.293,ns
CoFactor_ActLoop_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,7779.5,1.11e-11,2.22e-11,****
CoFactor_ActLoop_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,3614,7.1e-4,8.52e-4,***
CoFactor_ActLoop_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,3599.5,6.24e-4,8.52e-4,***
CoFactor_ActLoop_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,311,2.17e-30,6.899999999999999e-30,****
CoFactor_ActLoop_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,313,2.3e-30,6.899999999999999e-30,****
CoFactor_ActLoop_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,4899.5,0.807,0.807,ns
CoFactor_aC_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,1110,1.94e-21,3.88e-21,****
CoFactor_aC_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,694,6.640000000000001e-26,2.51e-25,****
CoFactor_aC_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,704,8.38e-26,2.51e-25,****
CoFactor_aC_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,1866,1.71e-14,2.05e-14,****
CoFactor_aC_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,1834.5,9.24e-15,1.39e-14,****
CoFactor_aC_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,5072.5,0.86,0.86,ns
D1_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
[CDK1 = Holo]",100,100,200,9.189999999999999e-32,1.7199999999999997e-31,****
D1_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,5574,0.161,0.161,ns
D1_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,8999.5,1.42e-22,1.6400000000000001e-22,****
D1_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,9100,1.2099999999999999e-23,1.5099999999999998e-23,****
D1_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,9100,1.1799999999999999e-23,1.5099999999999998e-23,****
D1_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,9800,9.18e-32,1.7199999999999997e-31,****
D1_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,9800,8.569999999999999e-32,1.7199999999999997e-31,****
D1_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,9800,8.47e-32,1.7199999999999997e-31,****
D1_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,9800,8.17e-32,1.7199999999999997e-31,****
D1_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,9887,6.790000000000001e-33,3.4e-32,****
D1_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,10000,2.3199999999999997e-34,1.74e-33,****
D1_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,10000,2.2299999999999997e-34,1.74e-33,****
D1_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,9718,7.98e-31,1.2e-30,****
D1_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,9767,1.8999999999999998e-31,3.1699999999999998e-31,****
D1_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,4304.5,0.088,0.094,ns
D220_HRD_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
[CDK1 = Holo]",100,100,7281.5,2.13e-8,3.2e-8,****
D220_HRD_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,0.5,2.27e-34,4.26e-34,****
D220_HRD_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,0,2.13e-34,4.26e-34,****
D220_HRD_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,0,2.04e-34,4.26e-34,****
D220_HRD_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,0,1.93e-34,4.26e-34,****
D220_HRD_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,0,1.9099999999999999e-34,4.26e-34,****
D220_HRD_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,0,1.8199999999999999e-34,4.26e-34,****
D220_HRD_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,0,1.74e-34,4.26e-34,****
D220_HRD_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,0,1.65e-34,4.26e-34,****
D220_HRD_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,5234,0.566,0.606,ns
D220_HRD_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,7047.5,5.06e-7,5.84e-7,****
D220_HRD_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,7107.5,2.29e-7,2.86e-7,****
